word,pos,definition
ABACA,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
ABACK,adv.,Toward the back or rear; backward.
ABACK,adv.,Behind; in the rear.
ABACK,adv.,Backward against the mast; -- said of the sails when pressed by the wind.
ABACK,n.,An abacus.
ABACI,pl. ,of Abacus
ABADA,n.,The rhinoceros.
ABAFT,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
ABAFT,adv.,"Toward the stern; aft; as, to go abaft."
ABAND,v. t.,To abandon.
ABAND,v. t.,To banish; to expel.
ABASE,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
ABASE,a.,"To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
ABASH,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
ABATE,v. t.,To beat down; to overthrow.
ABATE,v. t.,"To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope."
ABATE,v. t.,"To deduct; to omit; as, to abate something from a price."
ABATE,v. t.,To blunt.
ABATE,v. t.,To reduce in estimation; to deprive.
ABATE,v. t.,"To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ."
ABATE,v. t.,"To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets."
ABATE,v. t.,"To decrease, or become less in strength or violence; as, pain abates, a storm abates."
ABATE,v. t.,"To be defeated, or come to naught; to fall through; to fail; as, a writ abates."
ABATE,n.,Abatement.
ABBEY,n.,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
ABBEY,n.,The church of a monastery.
ABBOT,n.,The superior or head of an abbey.
ABBOT,n.,One of a class of bishops whose sees were formerly abbeys.
ABDAL,n.,A religious devotee or dervish in Persia.
ABEAM,adv.,"On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
ABEAR,v. t.,To bear; to behave.
ABEAR,v. t.,To put up with; to endure.
ABELE,n.,The white poplar (Populus alba).
ABERR,v. i.,To wander; to stray.
ABHAL,n.,The berries of a species of cypress in the East Indies.
ABHOR,v. t.,To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
ABHOR,v. t.,To fill with horror or disgust.
ABHOR,v. t.,To protest against; to reject solemnly.
ABHOR,v. i.,"To shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
ABODE,imp. & p. p.,of Abide
ABIDE,v. i.,To wait; to pause; to delay.
ABIDE,v. i.,"To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person, and commonly with at or in before a place."
ABIDE,v. i.,To remain stable or fixed in some state or condition; to continue; to remain.
ABIDE,v. t.,"To wait for; to be prepared for; to await; to watch for; as, I abide my time."
ABIDE,v. t.,To endure; to sustain; to submit to.
ABIDE,v. t.,To bear patiently; to tolerate; to put up with.
ABIDE,v. t.,To stand the consequences of; to answer for; to suffer for.
ABIES,n.,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
ABIME,n.,Alt. of Abyme
ABYME,n.,A abyss.
ABLER,a.,comp. of Able.
ABLER,a.,superl. of Able.
ABLET,,Alt. of Ablen
ABLEN,,A small fresh-water fish (Leuciscus alburnus); the bleak.
ABNET,n.,The girdle of a Jewish priest or officer.
ABODE,,pret. of Abide.
ABODE,n.,Act of waiting; delay.
ABODE,n.,Stay or continuance in a place; sojourn.
ABODE,n.,"Place of continuance, or where one dwells; abiding place; residence; a dwelling; a habitation."
ABODE,v. t.,An omen.
ABODE,v. t.,To bode; to foreshow.
ABODE,v. i.,To be ominous.
ABOMA,n.,A large South American serpent (Boa aboma).
ABOON,prep.,and adv. Above.
ABORD,n.,Manner of approaching or accosting; address.
ABORD,v. t.,To approach; to accost.
ABORT,v. i.,To miscarry; to bring forth young prematurely.
ABORT,v. i.,"To become checked in normal development, so as either to remain rudimentary or shrink away wholly; to become sterile."
ABORT,n.,An untimely birth.
ABORT,n.,An aborted offspring.
